participant,stitch_type,sequence_id,duration,yaw_range,pitch_range,roll_range,max_yaw_speed,max_pitch_speed,max_roll_speed,avg_yaw_speed,avg_pitch_speed,avg_roll_speed,yaw_direction_changes,pitch_direction_changes,roll_direction_changes,yaw_complexity,pitch_complexity,roll_complexity
sc,sc,37,2823.529411764706,621.4,289.68,168.64,48.309999999999995,21.634999999999998,14.315000000000001,12.155074404761903,6.76511904761905,3.5871279761904793,9,16,12,7,5,9
sc,sc,38,2899.1596638655465,808.29,276.66999999999996,188.05,90.33000000000001,28.505000000000003,22.705000000000005,14.086681159420293,5.744275362318839,3.8632608695652175,11,15,18,12,14,12
sc,sc,39,7470.588235294118,928.8399999999999,472.6,197.63,216.615,76.53500000000001,38.36,12.264887514060742,5.597694038245221,3.3066254218222735,41,44,47,27,17,26
sc,sc,40,3436.9747899159665,893.74,314.09000000000003,226.19,153.07999999999998,52.459999999999994,40.315000000000005,13.840330073349632,5.3721026894865505,3.731784841075793,23,14,17,11,9,12
sc,sc,41,3142.857142857143,895.69,314.76,267.27,114.81000000000002,54.870000000000005,30.155,17.464104278074885,6.012045454545456,4.653502673796792,10,18,16,13,8,10
sc,sc,42,3394.9579831932774,633.0,253.36,164.67,102.08499999999998,24.505000000000003,16.814999999999998,11.72175742574257,4.95530940594059,3.458254950495049,7,8,18,10,8,11
sc,sc,43,2554.621848739496,1011.72,425.10999999999996,241.69000000000003,83.94999999999999,32.255,28.715000000000003,18.817631578947363,7.826101973684207,5.222253289473685,8,6,10,11,4,11
sc,sc,44,2941.1764705882356,1061.83,380.5,219.79000000000002,125.065,36.254999999999995,35.0,15.750799999999995,6.1819428571428565,4.045771428571428,13,12,20,5,9,14
sc,sc,45,907.5630252100841,866.0899999999999,436.71000000000004,73.86,78.28000000000003,49.775000000000006,10.434999999999999,16.95824074074074,9.550833333333337,3.0562037037037024,2,4,3,1,0,2
sc,sc,46,2647.0588235294117,1418.76,643.74,249.39,159.42499999999998,66.03999999999999,49.92999999999999,30.149539682539682,13.763333333333348,7.236190476190475,16,12,19,7,10,16
sc,sc,47,3084.0336134453783,492.73,234.74,168.03,47.09,25.115000000000002,19.47,11.475326975476838,6.104114441416899,4.147166212534061,16,18,13,12,11,10
