participant,stitch_type,sequence_id,duration,yaw_range,pitch_range,roll_range,max_yaw_speed,max_pitch_speed,max_roll_speed,avg_yaw_speed,avg_pitch_speed,avg_roll_speed,yaw_direction_changes,pitch_direction_changes,roll_direction_changes,yaw_complexity,pitch_complexity,roll_complexity
user1_,ch,63,1226.8907563025211,645.26,289.12,180.79000000000002,74.525,30.395000000000003,25.485,13.523595890410965,7.2505136986301375,5.78332191780822,6,7,9,3,6,1
user1_,ch,64,1084.0336134453783,674.38,411.43999999999994,240.17000000000002,74.645,46.235,23.895000000000003,15.655310077519381,9.618255813953486,5.943178294573644,4,4,4,2,3,7
user1_,ch,65,1428.5714285714287,784.12,326.41999999999996,240.54000000000002,77.455,36.44,20.540000000000003,14.792441176470595,8.237852941176474,4.878588235294114,4,5,6,5,5,6
user1_,ch,66,1184.873949579832,759.7,357.17999999999995,237.0,80.445,55.635000000000005,26.705,14.410602836879432,9.525106382978722,5.380141843971631,5,6,4,5,4,5
user1_,ch,67,1260.5042016806724,634.15,257.08,200.62,53.434999999999974,28.080000000000005,22.525,11.561299999999997,7.001799999999997,4.5056666666666665,5,6,8,6,4,5
user1_,ch,68,1361.3445378151262,715.5699999999999,309.86999999999995,196.17,85.6,48.61,26.645000000000003,15.937222222222236,9.189537037037036,5.676450617283951,6,8,8,4,6,5
user1_,ch,69,966.3865546218487,706.06,449.15,257.51,101.63,61.28000000000003,52.36999999999999,16.132913043478265,10.793956521739133,6.667608695652172,3,4,6,2,2,4
user1_,ch,70,1243.6974789915967,738.1,327.58,199.59,89.38499999999999,39.334999999999994,20.57,15.121858108108107,8.144087837837839,4.561621621621621,7,6,5,2,3,5
user1_,ch,71,1504.201680672269,739.13,359.79999999999995,162.42000000000002,56.18,44.345,15.015,15.45519553072625,8.612709497206705,4.378240223463687,8,5,10,2,6,5
user1_,ch,72,1176.4705882352941,570.5500000000001,270.93,177.49,76.08,26.61,17.885,9.982249999999999,5.305249999999999,3.9442500000000003,5,4,6,4,5,5
user1_,ch,73,1126.0504201680674,614.63,302.37,177.74,60.91,61.28,26.125,13.18619402985074,8.657201492537315,4.723805970149254,5,4,6,5,2,7
user1_,ch,74,1378.1512605042017,730.53,351.92999999999995,183.84,65.31,22.36999999999999,14.190000000000005,11.965121951219507,7.23951219512195,4.499817073170732,7,5,10,3,4,7
user1_,ch,75,1210.0840336134454,725.8900000000001,493.96000000000004,167.89999999999998,97.41,45.72,20.079999999999995,14.635173611111107,10.341875000000002,4.291875000000001,4,10,12,6,5,4
user1_,ch,76,1193.2773109243699,790.71,459.23,174.44,53.52499999999999,44.10000000000001,21.240000000000002,14.860704225352118,11.003169014084506,5.026197183098591,10,4,9,3,2,7
user1_,ch,77,1327.731092436975,646.97,359.8,161.93,43.15,54.75,20.75,14.049018987341771,8.548069620253166,4.590221518987344,8,5,13,3,4,8
user1_,ch,78,1126.0504201680674,576.4200000000001,409.18000000000006,141.54,60.70000000000002,86.27,19.865000000000002,12.447835820895525,9.828731343283588,5.004477611940295,7,4,9,6,2,4
user1_,ch,79,1201.6806722689075,574.34,397.46000000000004,169.68,54.015000000000015,52.519999999999996,35.245,12.434160839160837,9.291293706293702,5.0321328671328684,10,5,7,3,2,5
user1_,ch,80,1151.2605042016808,799.01,564.64,215.34,77.06000000000002,62.129999999999995,21.055,17.463576642335756,12.517262773722624,5.2396350364963515,8,6,7,5,2,6
user1_,ch,81,1344.5378151260504,670.6,335.39000000000004,192.75,52.245000000000005,34.64000000000001,24.534999999999993,12.82628125,8.123749999999998,4.610218749999998,7,6,7,5,6,7
user1_,ch,82,1176.4705882352941,526.31,435.12,145.01999999999998,37.72,33.415,21.335,12.336607142857142,9.585857142857144,4.528892857142858,8,4,6,6,3,5
user1_,ch,83,1588.235294117647,985.97,541.02,228.82,74.52000000000002,40.53,18.71,20.11412698412698,12.291931216931218,5.877354497354497,9,8,11,5,4,5
user1_,ch,84,1193.2773109243699,698.97,420.28999999999996,181.03,93.93,51.425000000000004,29.815,15.518485915492962,9.903028169014087,5.642992957746479,9,4,9,5,4,4
user1_,ch,85,1218.4873949579833,767.15,492.12,252.69,49.925,32.625,60.239999999999995,14.794862068965514,11.059689655172413,7.716241379310343,10,6,12,4,5,4
user1_,ch,86,1319.327731092437,633.9100000000001,375.66999999999996,230.89999999999998,49.925,33.14500000000001,36.16499999999999,11.652547770700636,8.908343949044584,4.8631847133757935,8,6,11,2,3,7
user1_,ch,87,1453.781512605042,598.51,392.33,147.82999999999998,68.24000000000001,44.80000000000001,18.4,11.705867052023127,7.865289017341044,4.494219653179192,7,3,6,4,3,6
user1_,ch,88,1117.6470588235295,662.11,322.82,140.14,59.11,20.810000000000002,16.45,13.573195488721801,7.289548872180452,4.198233082706767,8,3,4,6,4,4
user1_,ch,89,1025.2100840336134,629.27,453.91999999999996,161.26,58.045,42.45,21.455,13.424180327868852,10.80856557377049,5.766639344262295,4,3,3,3,2,5
user1_,ch,90,1235.2941176470588,655.64,406.25,181.70999999999998,69.30500000000002,45.105,18.400000000000002,12.628639455782311,8.996564625850343,4.518809523809522,5,6,12,6,4,5
user1_,ch,91,1025.2100840336134,833.01,448.18,245.97,90.15,68.45,44.16,18.148196721311464,10.65295081967213,5.807622950819674,7,6,8,5,2,5
user1_,ch,92,1554.6218487394958,692.6899999999999,438.04999999999995,175.35000000000002,58.26000000000002,29.570000000000007,19.015,12.66070270270271,8.753891891891886,4.472162162162162,15,7,13,7,6,5
user1_,ch,93,1285.7142857142858,640.81,343.63,150.51,46.965,35.614999999999995,17.975,14.185718954248355,8.566241830065362,4.68483660130719,5,5,5,5,1,2
user1_,ch,94,991.5966386554622,684.08,413.39,230.04000000000002,65.37000000000002,54.2,34.055,14.546313559322032,10.398940677966106,6.161271186440679,7,6,5,3,2,3
user1_,ch,95,1201.6806722689075,697.76,382.51,176.20999999999998,54.34999999999998,37.690000000000005,20.599999999999994,13.144440559440563,7.953601398601401,4.896643356643358,5,6,6,6,3,4
user1_,ch,96,1151.2605042016808,662.3,388.24,183.53,51.364999999999995,38.545,24.135,13.067664233576638,8.783941605839416,5.680401459854014,6,4,9,4,2,6
user1_,ch,97,991.5966386554622,620.61,469.12,179.74,81.27000000000001,37.32,18.43,13.59165254237287,9.691864406779658,4.596228813559321,4,5,4,2,2,5
user1_,ch,98,1411.764705882353,634.6500000000001,401.86,197.51,61.0,57.160000000000004,26.519999999999996,12.004910714285714,7.7018749999999985,4.608511904761906,8,7,11,4,4,5
user1_,ch,99,1075.6302521008404,698.92,418.4,200.93,54.199999999999974,57.125,19.225,15.290664062500001,11.0901953125,5.239765625,9,4,10,6,3,5
user1_,sc,100,2386.5546218487398,945.8000000000001,321.53999999999996,274.53000000000003,94.88,26.67,23.47,18.314084507042267,7.290352112676056,5.605545774647887,12,10,18,9,7,5
user1_,sc,101,2159.6638655462184,1036.31,422.61,235.23000000000002,84.89999999999998,33.69,31.010000000000005,21.02519455252919,8.274338521400782,5.620797665369648,7,6,17,11,12,8
user1_,sc,102,2722.6890756302523,925.72,383.06,239.99,91.12500000000003,38.175,32.559999999999995,15.490308641975298,6.510370370370369,4.24445987654321,11,12,17,9,10,12
